Mouse gene name,Gene name,Gene stable ID,Mouse gene stable ID
Zfp660,ZNF660,ENSG00000144792,ENSMUSG00000111063
,ZNF300,ENSG00000145908,
Rbak,RBAK,ENSG00000146587,ENSMUSG00000061898
,ZNF92,ENSG00000146757,
Zfp7,ZNF7,ENSG00000147789,ENSMUSG00000033669
,ZNF214,ENSG00000149050,
,ZNF215,ENSG00000149054,
,ZNF547,ENSG00000152433,
Zfy1,ZNF773,ENSG00000152439,ENSMUSG00000053211
Zfy2,ZNF773,ENSG00000152439,ENSMUSG00000000103
,ZNF776,ENSG00000152443,
Zfy1,ZNF256,ENSG00000152454,ENSMUSG00000053211
Zfy2,ZNF256,ENSG00000152454,ENSMUSG00000000103
,ZNF117,ENSG00000152926,
,ZNF599,ENSG00000153896,
Zkscan6,ZNF18,ENSG00000154957,ENSMUSG00000018347
Zkscan2,ZKSCAN2,ENSG00000155592,ENSMUSG00000030757
Zfp689,ZNF689,ENSG00000156853,ENSMUSG00000048921
,ZNF19,ENSG00000157429,
,ZNF230,ENSG00000159882,
,ZNF222,ENSG00000159885,
,ZNF221,ENSG00000159905,
Zfp108,ZNF233,ENSG00000159915,ENSMUSG00000030486
Zfp109,ZNF233,ENSG00000159915,ENSMUSG00000074283
Zfp93,ZNF233,ENSG00000159915,ENSMUSG00000055305
Zfp114,ZNF233,ENSG00000159915,ENSMUSG00000068962
Zfp235,ZNF233,ENSG00000159915,ENSMUSG00000047603
,ZNF235,ENSG00000159917,
,ZNF66,ENSG00000160229,
,ZNF208,ENSG00000160321,
,ZNF761,ENSG00000160336,
,ZNF714,ENSG00000160352,
Zkscan14,ZNF394,ENSG00000160908,ENSMUSG00000029627
,ZNF333,ENSG00000160961,
Zfp382,ZNF382,ENSG00000161298,ENSMUSG00000074220
,ZNF577,ENSG00000161551,
,ZNF75A,ENSG00000162086,
Zkscan17,ZNF496,ENSG00000162714,ENSMUSG00000020472
,ZNF589,ENSG00000164048,
Zfp78,PRDM9,ENSG00000164256,ENSMUSG00000055150
Zfp12,ZNF12,ENSG00000164631,ENSMUSG00000029587
Zfp202,ZNF202,ENSG00000166261,ENSMUSG00000025602
,ZNF3,ENSG00000166526,
Zscan21,ZSCAN21,ENSG00000166529,ENSMUSG00000037017
Zfp606,ZNF606,ENSG00000166704,ENSMUSG00000030386
,ZNF91,ENSG00000167232,
Zfp612,ZNF23,ENSG00000167377,ENSMUSG00000044676
Zfp61,ZNF226,ENSG00000167380,ENSMUSG00000050605
Zfp180,ZNF180,ENSG00000167384,ENSMUSG00000057101
Zfp641,ZNF641,ENSG00000167528,ENSMUSG00000022987
Zfy1,ZNF610,ENSG00000167554,ENSMUSG00000053211
Zfy2,ZNF610,ENSG00000167554,ENSMUSG00000000103
,ZNF528,ENSG00000167555,
,ZNF701,ENSG00000167562,
,ZNF283,ENSG00000167637,
,ZNF83,ENSG00000167766,
Zfp558,ZNF558,ENSG00000167785,ENSMUSG00000074500
Zfp597,ZNF597,ENSG00000167981,ENSMUSG00000039789
,ZNF30,ENSG00000168661,
Zfp354a,ZNF354A,ENSG00000169131,ENSMUSG00000020364
Zfp764,ZNF764,ENSG00000169951,ENSMUSG00000045757
Zfp764l1,ZNF764,ENSG00000169951,ENSMUSG00000078580
Zfp764,ZNF747,ENSG00000169955,ENSMUSG00000045757
Zfp764l1,ZNF747,ENSG00000169955,ENSMUSG00000078580
Zfp768,ZNF768,ENSG00000169957,ENSMUSG00000047371
Zfp105,ZNF35,ENSG00000169981,ENSMUSG00000057895
Gm14288,ZNF778,ENSG00000170100,ENSMUSG00000078889
Zfp763,ZNF778,ENSG00000170100,ENSMUSG00000067430
Zfp212,ZNF212,ENSG00000170260,ENSMUSG00000052763
Zfp282,ZNF282,ENSG00000170265,ENSMUSG00000025821
,ZNF16,ENSG00000170631,
Zfp160,ZNF160,ENSG00000170949,ENSMUSG00000067942
,ZNF415,ENSG00000170954,
Zfp78,ZNF439,ENSG00000171291,ENSMUSG00000055150
Zfp78,ZNF440,ENSG00000171295,ENSMUSG00000055150
Zfy1,ZNF562,ENSG00000171466,ENSMUSG00000053211
Zfy2,ZNF562,ENSG00000171466,ENSMUSG00000000103
Zfy1,ZNF561,ENSG00000171469,ENSMUSG00000053211
Zfy2,ZNF561,ENSG00000171469,ENSMUSG00000000103
Zfy1,ZNF584,ENSG00000171574,ENSMUSG00000053211
Zfy2,ZNF584,ENSG00000171574,ENSMUSG00000000103
Zfp110,ZNF274,ENSG00000171606,ENSMUSG00000058638
Zfp369,ZNF274,ENSG00000171606,ENSMUSG00000021514
Zik1,ZIK1,ENSG00000171649,ENSMUSG00000030393
,ZNF540,ENSG00000171817,
Zfp39,ZNF570,ENSG00000171827,ENSMUSG00000037001
,ZNF57,ENSG00000171970,
Zfp78,ZNF556,ENSG00000172000,ENSMUSG00000055150
Zfp78,ZNF554,ENSG00000172006,ENSMUSG00000055150
,ZNF596,ENSG00000172748,
,ZNF621,ENSG00000172888,
,ZNF680,ENSG00000173041,
Zkscan16,ZNF483,ENSG00000173258,ENSMUSG00000038630
,ZNF417,ENSG00000173480,
Zfp791,ZNF791,ENSG00000173875,ENSMUSG00000074194
,ZNF80,ENSG00000174255,
,ZNF497,ENSG00000174586,
Zfp266,ZNF266,ENSG00000174652,ENSMUSG00000060510
,ZNF519,ENSG00000175322,
Zfp9,ZNF25,ENSG00000175395,ENSMUSG00000072623
BC025920,ZNF77,ENSG00000175691,ENSMUSG00000074862
Zfp169,ZNF169,ENSG00000175787,ENSMUSG00000050954
,ZNF613,ENSG00000176024,
,ZNF404,ENSG00000176222,
,ZNF135,ENSG00000176293,
Zfp78,ZNF491,ENSG00000177599,ENSMUSG00000055150
,ZNF620,ENSG00000177842,
,ZNF619,ENSG00000177873,
Zfp354c,ZNF354C,ENSG00000177932,ENSMUSG00000044807
,ZNF114,ENSG00000178150,
Zfp454,ZNF454,ENSG00000178187,ENSMUSG00000048728
,ZNF543,ENSG00000178229,
Zfp354b,ZNF354B,ENSG00000178338,ENSMUSG00000020335
,ZNF223,ENSG00000178386,
Zfp113,ZNF713,ENSG00000178665,ENSMUSG00000037007
,ZNF852,ENSG00000178917,
Zfy1,ZNF552,ENSG00000178935,ENSMUSG00000053211
Zfy2,ZNF552,ENSG00000178935,ENSMUSG00000000103
Zfy1,ZNF154,ENSG00000179909,ENSMUSG00000053211
Zfy2,ZNF154,ENSG00000179909,ENSMUSG00000000103
,ZNF816,ENSG00000180257,
,ZNF571,ENSG00000180479,
,ZSCAN4,ENSG00000180532,
,ZNF443,ENSG00000180855,
Zfy1,ZNF792,ENSG00000180884,ENSMUSG00000053211
Zfy2,ZNF792,ENSG00000180884,ENSMUSG00000000103
Zfp82,ZFP82,ENSG00000181007,ENSMUSG00000098022
,ZNF707,ENSG00000181135,
Zfp746,ZNF746,ENSG00000181220,ENSMUSG00000057691
Zfp595,ZNF678,ENSG00000181450,ENSMUSG00000057842
Zfp457,ZNF678,ENSG00000181450,ENSMUSG00000055341
Zfp953,ZNF678,ENSG00000181450,ENSMUSG00000098905
Zfp738,ZNF678,ENSG00000181450,ENSMUSG00000048280
,ZNF101,ENSG00000181896,
,ZNF716,ENSG00000182111,
,ZNF708,ENSG00000182141,
Zscan22,ZSCAN22,ENSG00000182318,ENSMUSG00000054715
Zfp420,ZNF721,ENSG00000182903,ENSMUSG00000058402
,ZNF662,ENSG00000182983,
,ZNF320,ENSG00000182986,
,ZNF530,ENSG00000183647,
,ZNF730,ENSG00000183850,
Zfp1,ZFP1,ENSG00000184517,ENSMUSG00000055835
,ZNF93,ENSG00000184635,
Zfp90,ZFP90,ENSG00000184939,ENSMUSG00000031907
,ZNF479,ENSG00000185177,
Zfp445,ZNF445,ENSG00000185219,ENSMUSG00000047036
,ZNF74,ENSG00000185252,
,ZNF829,ENSG00000185869,
,ZNF267,ENSG00000185947,
Zfp566,ZNF566,ENSG00000186017,ENSMUSG00000078768
,ZNF529,ENSG00000186020,
Zfp78,ZNF749,ENSG00000186230,ENSMUSG00000055150
,ZNF17,ENSG00000186272,
Zfp78,ZNF555,ENSG00000186300,ENSMUSG00000055150
,ZNF197,ENSG00000186448,
,ZNF732,ENSG00000186777,
,ZNF546,ENSG00000187187,
Zfp286,ZNF286A,ENSG00000187607,ENSMUSG00000047342
Zkscan4,ZKSCAN4,ENSG00000187626,ENSMUSG00000054931
Zkscan3,ZKSCAN4,ENSG00000187626,ENSMUSG00000021327
,ZFP69B,ENSG00000187801,
Zfp69,ZFP69,ENSG00000187815,ENSMUSG00000064141
,ZNF490,ENSG00000188033,
,ZNF626,ENSG00000188171,
Zfy1,ZNF793,ENSG00000188227,ENSMUSG00000053211
Zfy2,ZNF793,ENSG00000188227,ENSMUSG00000000103
Zfp383,ZNF383,ENSG00000188283,ENSMUSG00000099689
Zfp78,ZNF669,ENSG00000188295,ENSMUSG00000055150
,ZNF559,ENSG00000188321,
,ZNF177,ENSG00000188629,
Zfy1,ZNF548,ENSG00000188785,ENSMUSG00000053211
Zfy2,ZNF548,ENSG00000188785,ENSMUSG00000000103
,ZNF563,ENSG00000188868,
,ZNF567,ENSG00000189042,
,ZNF573,ENSG00000189144,
,ZNF527,ENSG00000189164,
,ZNF33A,ENSG00000189180,
,ZNF600,ENSG00000189190,
,ZKSCAN3,ENSG00000189298,
,ZNF676,ENSG00000196109,
,ZNF699,ENSG00000196110,
Zfp647,ZNF250,ENSG00000196150,ENSMUSG00000054967
,ZNF79,ENSG00000196152,
Zfp595,ZNF681,ENSG00000196172,ENSMUSG00000057842
Zfp457,ZNF681,ENSG00000196172,ENSMUSG00000055341
Zfp953,ZNF681,ENSG00000196172,ENSMUSG00000098905
Zfp738,ZNF681,ENSG00000196172,ENSMUSG00000048280
,ZNF766,ENSG00000196214,
,ZNF107,ENSG00000196247,
,ZNF471,ENSG00000196263,
,ZNF836,ENSG00000196267,
,ZNF493,ENSG00000196268,
Zkscan7,ZKSCAN7,ENSG00000196345,ENSMUSG00000063488
,ZNF729,ENSG00000196350,
,ZNF565,ENSG00000196357,
Zfp984,ZNF34,ENSG00000196378,ENSMUSG00000078495
Zfp992,ZNF34,ENSG00000196378,ENSMUSG00000070605
Zfp760,ZNF34,ENSG00000196378,ENSMUSG00000067928
Zfp993,ZNF34,ENSG00000196378,ENSMUSG00000063245
Zfp989,ZNF34,ENSG00000196378,ENSMUSG00000086147
Zfp979,ZNF34,ENSG00000196378,ENSMUSG00000066000
Zfp990,ZNF34,ENSG00000196378,ENSMUSG00000078503
Zfp988,ZNF34,ENSG00000196378,ENSMUSG00000078498
Zfp945,ZNF34,ENSG00000196378,ENSMUSG00000059142
Zfp942,ZNF34,ENSG00000196378,ENSMUSG00000071267
Zfp981,ZNF34,ENSG00000196378,ENSMUSG00000056300
Gm7072,ZNF34,ENSG00000196378,ENSMUSG00000117284
Zfp947,ZNF34,ENSG00000196378,ENSMUSG00000063383
Zfp820,ZNF34,ENSG00000196378,ENSMUSG00000069743
Zfp991,ZNF34,ENSG00000196378,ENSMUSG00000067916
Zfp534,ZNF34,ENSG00000196378,ENSMUSG00000062518
Zfp994,ZNF34,ENSG00000196378,ENSMUSG00000096433
Rex2,ZNF34,ENSG00000196378,ENSMUSG00000067919
Zfp943,ZNF34,ENSG00000196378,ENSMUSG00000053347
Zfp995,ZNF34,ENSG00000196378,ENSMUSG00000078546
Zfp980,ZNF34,ENSG00000196378,ENSMUSG00000058186
Zfp987,ZNF34,ENSG00000196378,ENSMUSG00000066009
Zfp944,ZNF34,ENSG00000196378,ENSMUSG00000033972
Zfp985,ZNF34,ENSG00000196378,ENSMUSG00000065999
Zfp946,ZNF34,ENSG00000196378,ENSMUSG00000071266
,ZNF140,ENSG00000196387,
,ZNF765,ENSG00000196417,
Zfp78,ZNF124,ENSG00000196418,ENSMUSG00000055150
Zfp74,ZNF569,ENSG00000196437,ENSMUSG00000059975
Zfp777,ZNF777,ENSG00000196453,ENSMUSG00000071477
Zfp605,ZNF605,ENSG00000196458,ENSMUSG00000023284
,ZNF799,ENSG00000196466,
,ZNF782,ENSG00000196597,
,ZNF846,ENSG00000196605,
,ZNF136,ENSG00000196646,
Zkscan5,ZKSCAN5,ENSG00000196652,ENSMUSG00000055991
,ZNF33B,ENSG00000196693,
,ZNF431,ENSG00000196705,
Zfy1,ZNF418,ENSG00000196724,ENSMUSG00000053211
Zfy2,ZNF418,ENSG00000196724,ENSMUSG00000000103
Zfp961,ZNF700,ENSG00000196757,ENSMUSG00000052446
Zfp239,ZNF239,ENSG00000196793,ENSMUSG00000042097
,ZSCAN16,ENSG00000196812,
Zfp28,ZFP28,ENSG00000196867,ENSMUSG00000062861
Zfp78,ZNF705A,ENSG00000196946,ENSMUSG00000055150
,ZNF585A,ENSG00000196967,
,ZNF138,ENSG00000197008,
Zfp874b,ZNF429,ENSG00000197013,ENSMUSG00000059839
Zfp429,ZNF429,ENSG00000197013,ENSMUSG00000078994
Zfp455,ZNF429,ENSG00000197013,ENSMUSG00000051037
Zfp874a,ZNF429,ENSG00000197013,ENSMUSG00000069206
Zfp456,ZNF429,ENSG00000197013,ENSMUSG00000078995
Rsl1,ZNF429,ENSG00000197013,ENSMUSG00000058900
Zfp58,ZNF429,ENSG00000197013,ENSMUSG00000071291
Zfp87,ZNF429,ENSG00000197013,ENSMUSG00000097333
Rslcan18,ZNF429,ENSG00000197013,ENSMUSG00000074824
,ZNF470,ENSG00000197016,
,ZNF100,ENSG00000197020,
Zfp398,ZNF398,ENSG00000197024,ENSMUSG00000062519
Zscan25,ZSCAN25,ENSG00000197037,ENSMUSG00000070420
,ZNF441,ENSG00000197044,
Zfp780b,ZNF420,ENSG00000197050,ENSMUSG00000063047
Zfp790,ZNF420,ENSG00000197050,ENSMUSG00000011427
Zfp78,ZNF763,ENSG00000197054,ENSMUSG00000055150
,ZNF679,ENSG00000197123,
Zfp595,ZNF682,ENSG00000197124,ENSMUSG00000057842
Zfp457,ZNF682,ENSG00000197124,ENSMUSG00000055341
Zfp953,ZNF682,ENSG00000197124,ENSMUSG00000098905
Zfp738,ZNF682,ENSG00000197124,ENSMUSG00000048280
Zfy1,ZNF772,ENSG00000197128,ENSMUSG00000053211
Zfy2,ZNF772,ENSG00000197128,ENSMUSG00000000103
Krbox5,ZNF257,ENSG00000197134,ENSMUSG00000058246
,ZNF785,ENSG00000197162,
,KRABD5,ENSG00000197302,
Zfp655,ZNF655,ENSG00000197343,ENSMUSG00000007812
,ZNF98,ENSG00000197360,
Zfp786,ZNF786,ENSG00000197362,ENSMUSG00000051499
Zfp113,ZNF517,ENSG00000197363,ENSMUSG00000037007
,ZNF675,ENSG00000197372,
,ZNF860,ENSG00000197385,
Zfp595,ZNF695,ENSG00000197472,ENSMUSG00000057842
Zfp457,ZNF695,ENSG00000197472,ENSMUSG00000055341
Zfp953,ZNF695,ENSG00000197472,ENSMUSG00000098905
Zfp738,ZNF695,ENSG00000197472,ENSMUSG00000048280
Zfp160,ZNF665,ENSG00000197497,ENSMUSG00000067942
,ZNF624,ENSG00000197566,
,ZNF841,ENSG00000197608,
,ZNF615,ENSG00000197619,
,ZNF433,ENSG00000197647,
,ZNF460,ENSG00000197714,
Zfp850,ZNF780A,ENSG00000197782,ENSMUSG00000096916
Zfp626,ZNF780A,ENSG00000197782,ENSMUSG00000030604
Zfp59,ZNF780A,ENSG00000197782,ENSMUSG00000078779
Zfp607a,ZNF780A,ENSG00000197782,ENSMUSG00000020420
Zfp60,ZNF780A,ENSG00000197782,ENSMUSG00000037640
Zfp607b,ZNF780A,ENSG00000197782,ENSMUSG00000057093
,ZNF461,ENSG00000197808,
,ZNF181,ENSG00000197841,
,ZNF44,ENSG00000197857,
,ZNF790,ENSG00000197863,
,ZNF677,ENSG00000197928,
,ZNF823,ENSG00000197933,
,ZNF311,ENSG00000197935,
,ZNF347,ENSG00000197937,
,ZNF71,ENSG00000197951,
Zfp560,ZNF121,ENSG00000197961,ENSMUSG00000045519
Zfp78,ZNF560,ENSG00000198028,ENSMUSG00000055150
,ZNF273,ENSG00000198039,
,ZNF84,ENSG00000198040,
Zfp667,ZNF667,ENSG00000198046,ENSMUSG00000054893
,ZNF649,ENSG00000198093,
Zfp248,ZNF248,ENSG00000198105,ENSMUSG00000030145
,ZNF544,ENSG00000198131,
Zfp251,ZNF251,ENSG00000198169,ENSMUSG00000022526
,ZNF607,ENSG00000198182,
Zfp334,ZNF334,ENSG00000198185,ENSMUSG00000017667
,ZNF485,ENSG00000198298,
Zkscan8,ZKSCAN8,ENSG00000198315,ENSMUSG00000063894
,ZNF442,ENSG00000198342,
,ZNF813,ENSG00000198346,
,ZNF26,ENSG00000198393,
Zfp78,ZNF69,ENSG00000198429,ENSMUSG00000055150
Zfp583,ZNF583,ENSG00000198440,ENSMUSG00000030443
,ZNF568,ENSG00000198453,
Zfy1,ZNF480,ENSG00000198464,ENSMUSG00000053211
Zfy2,ZNF480,ENSG00000198464,ENSMUSG00000000103
,ZNF587,ENSG00000198466,
,ZNF808,ENSG00000198482,
,ZNF43,ENSG00000198521,
,ZNF28,ENSG00000198538,
Zfp872,ZNF627,ENSG00000198551,ENSMUSG00000074472
,ZNF789,ENSG00000198556,
,ZNF534,ENSG00000198633,
Zfp2,ZFP2,ENSG00000198939,ENSMUSG00000049321
,ZNF525,ENSG00000203326,
,ZNF814,ENSG00000204514,
Zfp551,ZNF551,ENSG00000204519,ENSMUSG00000034071
,ZNF805,ENSG00000204524,
,ZNF468,ENSG00000204604,
,ZNF616,ENSG00000204611,
Zfp57,ZFP57,ENSG00000204644,ENSMUSG00000036036
,ZNF155,ENSG00000204920,
,ZNF783,ENSG00000204946,
,ZNF425,ENSG00000204947,
Zfp316,ZNF316,ENSG00000205903,ENSMUSG00000046658
,ZNF611,ENSG00000213020,
,ZNF254,ENSG00000213096,
Zfy1,ZNF134,ENSG00000213762,ENSMUSG00000053211
Zfy2,ZNF134,ENSG00000213762,ENSMUSG00000000103
Zfp759,ZNF845,ENSG00000213799,ENSMUSG00000057396
Zfp712,ZNF845,ENSG00000213799,ENSMUSG00000090641
Zfp748,ZNF845,ENSG00000213799,ENSMUSG00000095432
Zfp458,ZNF845,ENSG00000213799,ENSMUSG00000055480
Zfp729a,ZNF845,ENSG00000213799,ENSMUSG00000021510
Zfp729b,ZNF845,ENSG00000213799,ENSMUSG00000058093
Zfp459,ZNF845,ENSG00000213799,ENSMUSG00000055560
,ZNF726,ENSG00000213967,
,ZNF99,ENSG00000213973,
,ZNF90,ENSG00000213988,
Zfp78,ZNF891,ENSG00000214029,ENSMUSG00000055150
,ZNF705EP,ENSG00000214534,
Zfp595,ZNF727,ENSG00000214652,ENSMUSG00000057842
Zfp457,ZNF727,ENSG00000214652,ENSMUSG00000055341
Zfp953,ZNF727,ENSG00000214652,ENSMUSG00000098905
Zfp738,ZNF727,ENSG00000214652,ENSMUSG00000048280
Zfp78,ZNF705D,ENSG00000215343,ENSMUSG00000055150
Zfp78,ZNF705G,ENSG00000215372,ENSMUSG00000055150
,ZNF880,ENSG00000221923,
,ZNF844,ENSG00000223547,
,ZNF735,ENSG00000223614,
,ZNF717,ENSG00000227124,
,ZNF492,ENSG00000229676,
Zfp879,ZNF879,ENSG00000234284,ENSMUSG00000044296
Zfp595,ZNF736,ENSG00000234444,ENSMUSG00000057842
Zfp457,ZNF736,ENSG00000234444,ENSMUSG00000055341
Zfp953,ZNF736,ENSG00000234444,ENSMUSG00000098905
Zfp738,ZNF736,ENSG00000234444,ENSMUSG00000048280
,ZNF737,ENSG00000237440,
,ZNF585B,ENSG00000245680,
Zfp324,ZNF324B,ENSG00000249471,ENSMUSG00000004500
,ZNF718,ENSG00000250312,
Zfp11,ZNF345,ENSG00000251247,ENSMUSG00000051034
,ZNF550,ENSG00000251369,
Zfp260,ZNF260,ENSG00000254004,ENSMUSG00000049421
,ZNF432,ENSG00000256087,
,ZNF10,ENSG00000256223,
,ZNF486,ENSG00000256229,
,ZNF225,ENSG00000256294,
,ZNF350,ENSG00000256683,
,ZNF253,ENSG00000256771,
Zfp867,ZNF878,ENSG00000257446,ENSMUSG00000054519
,ZNF625,ENSG00000257591,
,ZNF578,ENSG00000258405,
,ZNF234,ENSG00000263002,
,ZNF850,ENSG00000267041,
,ZNF285,ENSG00000267508,
,ZNF224,ENSG00000267680,
,ZNF728,ENSG00000269067,
Zfy1,ZNF587B,ENSG00000269343,ENSMUSG00000053211
Zfy2,ZNF587B,ENSG00000269343,ENSMUSG00000000103
,ZIM2,ENSG00000269699,
,ZNF595,ENSG00000272602,
,ZNF658,ENSG00000274349,
Zfp661,ZNF2,ENSG00000275111,ENSMUSG00000034800
,ZNF670,ENSG00000277462,
,ZNF229,ENSG00000278318,
